id,pred
20884,0.03314060825671198
20885,0.06847646392307369
20886,0.3122400744113702
20887,0.86231068348047
20888,0.25933728970068387
20889,0.35477254856219625
20890,0.7758460995346893
20891,0.7421055008253308
20892,0.37824543012579737
20893,0.5315346513655755
20894,0.5019203150115242
20895,0.27523909295974996
20896,0.6425891174780387
20897,0.7301525433396299
20898,0.8150365869404634
20899,0.6254025798787297
20900,0.9285864137858588
20901,0.8530481020659182
20902,0.21715949838627283
20903,0.9003737061492232
20904,0.9348714165728709
20905,0.08265113842577519
20906,0.22203068779367127
20907,0.8346725891339267
20908,0.3986767393225949
20909,0.8341541475440886
20910,0.7037552899557482
20911,0.26067276100194026
20912,0.7334948234398879
20913,0.3937360110292869
20914,1.0
20915,0.5623187332928481
20916,0.9006194726714847
20917,0.9281334114332476
20918,0.8196784688705147
20919,0.13447289924498398
20920,0.4865147370757128
20921,0.4744267926934924
20922,1.0
20923,0.9730581195411504
20924,0.5011153247550896
20925,1.0
20926,0.320690451782389
20927,0.6863750429380583
20928,0.8320333366899115
20929,0.5452945525434683
20930,0.5976377928152176
20931,0.33024673172514524
20932,0.8292754967672391
20933,0.49560750529511843
20934,0.5946694102559712
20935,0.8528355163874626
20936,1.0
20937,0.8840313859664499
20938,0.7867360005935591
20939,1.0
20940,1.0
20941,0.6588595909416023
20942,0.8508793976840885
20943,0.8939498048963798
20944,0.9251892060630111
20945,0.8842042353241087
20946,0.9871291599272813
20947,1.0
20948,0.9941846681090076
20949,1.0
20950,1.0
20951,0.8123852828768429
20952,1.0
20953,1.0
20954,0.6899167019964045
20955,0.8753003369189006
20956,1.0
20957,0.9088326195849387
20958,1.0
20959,0.9853758347754114
20960,0.7691025557899145
20961,0.9755845129382772
20962,0.798224926214752
20963,1.0
20964,0.9848291710512482
20965,1.0
20966,1.0
20967,1.0
20968,0.6090313060305182
20969,0.9037801942684986
20970,0.8858631838780674
20971,1.0
20972,1.0
20973,0.93451693335706
20974,1.0
20975,0.7321105072955292
20976,0.9728271967376919
20977,1.0
20978,0.9721189611747264
20979,0.9756851329069791
20980,0.9757178520802954
